,Unnamed: 0.1,Unnamed: 0,설치기관명,설치기관주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일
5607,5607,5607,4호선 동대문역 (역무실 앞),"서울특별시 종로구 율곡로 지하308, 4호선 동대문역 (종로6가)",05:00~25:00,05:00~25:00,05:00~25:00,05:00~25:00,05:00~25:00,05:00~24:00,05:00~24:00,05:00~24:00
5608,5608,5608,6호선 동묘앞역 (역무실 앞),"서울특별시 종로구 지봉로 지하24, 6호선 동묘앞역 (숭인동)",05:30~23:59,05:30~23:59,05:30~23:59,05:30~23:59,05:30~23:59,05:30~23:59,00:00~24:00,05:30~23:59
5609,5609,5609,6호선 창신역 (역무실 앞),"서울특별시 종로구 지봉로 지하 112, 6호선 창신역 (창신동)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5610,5610,5610,서울특별시어린이병원 (동관6층 엘리베이터 앞),서울특별시 서초구 헌릉로 260 (내곡동) ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,500:00~24:00,00:00~24:00
5611,5611,5611,서울특별시어린이병원 (동관6층 엘리베이터 앞),서울특별시 서초구 헌릉로 260 (내곡동) ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,500:00~24:00,00:00~24:00
5612,5612,5612,창경궁관리소 (수유실 근처),"서울특별시 종로구 율곡로 99, 창덕궁 (와룡동)",,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00
5613,5613,5613,창경궁관리소 (3호 화장실 주변),"서울특별시 종로구 율곡로 99, 창덕궁 (와룡동)",,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00
5614,5614,5614,무악현대임대아파트 (관리소),"서울특별시 종로구 통일로 246-11 (무악동, 무악현대아파트)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5615,5615,5615,사직단출장소 (사직단사무실),서울특별시 종로구 사직로9길 7 (사직동),00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5616,5616,5616,문화재청종묘관리소 (종묘 정문),서울특별시 종로구 종로 157 (훈정동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~17:30,09:00~17:30,09:00~17:30
5617,5617,5617,창신3동주민센터 (입구),"서울특별시 종로구 지봉로 87(창신동, 창신3동주민센터)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5618,5618,5618,부암동주민센터 (입구),"서울특별시 종로구 창의문로 145, 부암동주민센터 (부암동)",,,,,,09:00~18:00,409:00~18:00,00:00~24:00
5619,5619,5619,보현데이케어센터 (1층 로비),서울특별시 종로구 평창4길 21-22(평창동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,08:00~17:00,,
5620,5620,5620,종로구치매지원센터 (3층 프로그램실),"서울특별시 종로구 평창문화로 50, 종로구치매안심센터 (평창동)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5621,5621,5621,1호선 종로3가역 (대합실 고객안내 부스),"서울특별시 종로구 종로 지하 129, 1호선 종로3가역 (종로3가)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5622,5622,5622,혜화동주민센터 (입구),"서울특별시 종로구 혜화로 12, 혜화동주민센터 (혜화동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
5623,5623,5623,종로3가치안센터 (1층 소내 책상 위),"서울특별시 종로구 돈화문로 28, 종로3가치안센터 (묘동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
