,설치기관명,설치기관주소,구별설치기관주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일
583,시립서부노인전문요양센터 (1층 간호사실),"서울특별시 마포구 월드컵로36길 15, 서부노인전문요양센터 (성산동)",마포구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
584,시청자미디어재단 (시청자미디어재단 3층),"서울특별시 영등포구 국회대로70길 23, 용산빌딩 (여의도동)",영등포구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
585,시청자미디어재단 (시청자미디어재단 4층),"서울특별시 영등포구 국회대로70길 23, 용산빌딩 (여의도동)",영등포구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
586,시흥벽산6단지아파트 (602동 1층),"서울특별시 금천구 금하로 796(시흥동, 벽산6단지아파트)",금천구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
587,시흥벽산6단지아파트 (603동 1층),"서울특별시 금천구 금하로 796(시흥동, 벽산6단지아파트)",금천구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
588,시흥벽산6단지아파트 (601동 1층),"서울특별시 금천구 금하로 796(시흥동, 벽산6단지아파트)",금천구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
589,시흥벽산6단지아파트 (604동 1층),"서울특별시 금천구 금하로 796(시흥동, 벽산6단지아파트)",금천구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
590,신공덕1차삼성래미안아파트 (아파트 정문초소),"서울특별시 마포구 백범로37길 12(신공덕동, 신공덕1차삼성래미안아파트)",마포구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
591,신공덕1차삼성래미안아파트 (아파트 경로당),"서울특별시 마포구 백범로37길 12(신공덕동, 신공덕1차삼성래미안아파트)",마포구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
592,"신금호파크자이아파트 (방재실(3동, 4동 사이))","서울특별시 성동구 금호로 173(금호동2가, 신금호파크자이)",성동구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
593,신길센트럴자이아파트 (관리사무소 입구),"서울특별시 영등포구 신길로29길 17 (신길동, 신길센트럴자이)",영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
594,신길파크자이아파트 (관리사무소 내),"서울특별시 영등포구 신길로28길 25(신길동, 신길파크자이)",영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
595,신림동주민센터 (민원실 내),"서울특별시 관악구 신림동길 14, 신림동주민센터 (신림동)",관악구 ,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
596,신림종합사회복지관 (4층 복도 끝 벽면),"서울특별시 관악구 난곡로 110, 신림종합사회복지관 (신림동)",관악구 ,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,,,
597,신림체육센터 (3층 남자 탈의실 입구 옆),"서울특별시 관악구 난곡로58길 13, 신림체육센터 (신림동)",관악구 ,06:00~22:00,06:00~22:00,06:00~22:00,06:00~22:00,06:00~22:00,06:00~22:00,234506:00~16:00,
598,신림푸르지오아파트 (101동 1층),"서울특별시 관악구 남부순환로 1430(신림동, 신림푸르지오아파트)",관악구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
599,신목동노인복지센터 (프로그램실),"서울특별시 양천구 중앙로 294, 명성빌딩 7층 (신정동)",양천구 ,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
600,신반포자이아파트 (신반포자이아파트 관리사무소 내부),"서울특별시 서초구 잠원로 60, 신반포자이아파트 (잠원동, 신반포자이)",서초구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,500:00~24:00,00:00~24:00
601,신사동주민센터 (민원실 내),"서울특별시 관악구 남부순환로 1517-1, 신사동주민센터 (신림동)",관악구 ,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
602,신세계센트럴시티(호남선터미널) (1층 대합실 매표소 앞),"서울특별시 서초구 신반포로 176, 센트럴시티 (반포동)",서초구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
603,신원동주민센터 (민원실 내),"서울특별시 관악구 남부순환로 1540, 신원동주민센터 (신림동)",관악구 ,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
604,신촌그랑자이 아파트 (노인정(204동 로비층)),"서울특별시 마포구 대흥로 175 (대흥동, 신촌그랑자이)",마포구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
605,신촌그랑자이 아파트 (커뮤니티센터(104동 로비층)),"서울특별시 마포구 대흥로 175(대흥동, 신촌그랑자이)",마포구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
606,신촌그랑자이 아파트 (자이안센터 건강관리실(105동 로비층)),"서울특별시 마포구 대흥로 175 (대흥동, 신촌그랑자이)",마포구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
607,신촌그랑자이 아파트 (경비실(106동 옆)),"서울특별시 마포구 대흥로 175 (대흥동, 신촌그랑자이)",마포구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
608,신촌그랑자이 아파트 (경비실(201동 지하층)),"서울특별시 마포구 대흥로 175 (대흥동, 신촌그랑자이)",마포구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
609,"신촌그랑자이 아파트 (111동 4,5라인 로비)","서울특별시 마포구 대흥로 175 (대흥동, 신촌그랑자이)",마포구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
610,신촌그랑자이 아파트 (경비실(106동 옆)),"서울특별시 마포구 대흥로 175 (대흥동, 신촌그랑자이)",마포구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
611,신촌그랑자이 아파트 (경비실(201동 지하층)),"서울특별시 마포구 대흥로 175 (대흥동, 신촌그랑자이)",마포구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
612,"신촌그랑자이 아파트 (111동 4,5라인 로비)","서울특별시 마포구 대흥로 175 (대흥동, 신촌그랑자이)",마포구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
613,신촌숲아이파크아파트 (커뮤니티센터),"서울특별시 마포구 광성로 17 (신수동, 신촌숲아이파크)",마포구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
