,Unnamed: 0,설치기관명,설치기관주소,소재지,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일,위도,경도
5455,5456,길음뉴타운9단지아파트 (관리사무소),"서울특별시 성북구 길음로9길 50 (길음동, 길음뉴타운)",성북구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.6026965054255,127.020948040998
5456,5457,래미안길음2차아파트 (관리사무소),"서울특별시 성북구 길음로 74 (길음동, 길음뉴타운)",성북구,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,,,37.6092896639058,127.021033925155
5457,5458,래미안길음1차아파트 (관리사무소),"서울특별시 성북구 길음로9길 40 (길음동, 래미안길음1차)",성북구,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,,,37.6058494237909,127.020985165043
5458,5459,길음동부센트레빌 (관리사무소),"서울특별시 성북구 숭인로2길 61 (길음동, 길음동부센트레빌)",성북구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.6093534067567,127.024973857612
5459,5460,등촌부영아파트 (정문초소내),서울특별시 강서구 강서로56나길 110 관리사무실,강서구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.5635151546596,126.842838841866
5460,5461,등촌아이파크아파트 (관리사무소),서울특별시 강서구 등촌로 163 관리사무실,강서구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.5447297738682,126.861593331753
5461,5462,등촌주공6단지아파트 (관리동 복도벽),서울특별시 강서구 화곡로63가길 18 관리동 복도벽,강서구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.5600057571747,126.848405961791
5462,5463,4호선 길음역 (역사내),서울특별시 성북구 동소문로 지하 248 (길음동),성북구,06:00~25:00,06:00~25:00,06:00~25:00,06:00~25:00,06:00~25:00,06:00~24:00,06:00~24:00,06:00~24:00,37.603183910563,127.024823216768
5463,5464,하계5단지아파트 ((하계2동) 경비실),서울특별시 노원구 섬밭로 201 하계5단지아파트,노원구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.6338833229289,127.065928131029
5464,5465,종암극동아파트 (정문경비실),서울특별시 성북구 북악산로29길 67 (종암동),성북구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.5950324430565,127.033643645805
