역이름,호선,가까운 AED,AED 위도,AED 경도,역으로부터 거리(m)
을지로입구역,02호선,2호선 을지로입구역 (고객안전실 우측 20m),37.5660509513873,126.982372901787,16.939614870214363
을지로입구역,02호선,KEB하나은행을지로본점 (지하2층 피난안전구역),37.5664918220199,126.981865819602,59.20462950649916
을지로입구역,02호선,KEB하나은행을지로본점 (지하1층 피난안전구역),37.5664918220199,126.981865819602,59.20462950649916
을지로입구역,02호선,더존비즈온을지타워 (1층 로비),37.5664884462972,126.981025044659,114.51649887554255
을지로입구역,02호선,더존비즈온을지타워 (11층 DTEC),37.5664884462972,126.981025044659,114.51649887554255
을지로입구역,02호선,더존비즈온을지타워 (20층 헬스케어센터),37.5664884462972,126.981025044659,114.51649887554255
을지로입구역,02호선,(주)호텔롯데롯데면세점 (24층 보건실 옆),37.5653458904198,126.9810075639,128.13556961230083
을지로입구역,02호선,(주)호텔롯데롯데면세점명동본점 (12층 랑콤매장 옆),37.5653458904198,126.9810075639,128.13556961230083
을지로입구역,02호선,(주)호텔롯데롯데면세점명동본점 (10층 면세전용 엘릴베이터 앞),37.5653458904198,126.9810075639,128.13556961230083
을지로입구역,02호선,호텔롯데 (1층 로비내),37.5653458904198,126.9810075639,128.13556961230083
을지로입구역,02호선,한국전력공사서울본부경영지원부 (1층 종합봉사실),37.5652758792893,126.983371857314,133.64648643979262
을지로입구역,02호선,롯데백화점본점 (본관 1층 안전실),37.5647299033135,126.981730421825,149.2297099067812
을지로입구역,02호선,롯데백화점본점 (본관 9층 의무실),37.5647299033135,126.981730421825,149.2297099067812
을지로입구역,02호선,롯데백화점본점 (에비뉴엘관 B2층 안전실),37.5647299033135,126.981730421825,149.2297099067812
을지로입구역,02호선,롯데백화점본점 (영플라자 1층 안전실),37.5647299033135,126.981730421825,149.2297099067812
